Publisher,Website,Type of Publisher,Genres Published,Year Established,Address,Name,Title,Mission Statement / Editorial Focus,Submission Info,Distributors
Aquarius Press/Willow Books,http://www.WillowLit.net,Press,"Fiction, Poetry, Visual Art",1999,"MI, 48223",Randall Horton,Editor,"Aquarius Press publishes trade, academic, and special interest titles by writers typically underrepresented in the marketplace. Key partnerships have been formed with several universities, libraries, governmental agencies, and literary organizations. Numerous titles are included in special collections, including the University of Michigan Special Collection, Poets House in New York, and the African Libraries Collective. The flagship imprint, Willow Books, was co-founded with Dr. Randall Horton in 2007 with a mission to develop, publish, and promote writers of color. Collaborations include PEN/Faulkner, Cave Canem Foundation, Inc. and the Weeksville Heritage Center. In addition to publishing and providing professional development opportunities, Willow has created a platform for its authors to engage with the public through workshops, conferences, digital streaming broadcasts, and public readings in the U.S. and abroad. Signature events include the annual LitFest (Seattle, Chicago, Boston, Minneapolis, Los Angeles and D.C.) and its Literature Awards. The Willow Arts Alliance sponsors fellowships to talented multidisciplinary artists. The press has an active roster of over 40 single-title authors and has published over 10 anthologies and journals containing the works of over 200 poets and writers. An industry leader, the press is known for its excellence in design, content, and diverse selection of award-winning authors and fellows.",,
Arcana Poetry Press,https://arcanapoetrypress.com,Press,Poetry,2025,"Walden, NY",Jordyn Krieg,Founder / Editor,"At Arcana Poetry Press, we are dedicated to bringing raw, emotionally powerful poetry to the forefront. Our mission is to create a space where poets can share their voices, explore the complexities of the human experience, and connect with a diverse, inclusive community. We believe poetry is a deeply personal form of expression, one that speaks to the heart and mind in unique ways. Our goal is to highlight work that not only stirs the soul but challenges conventional thinking, opens new emotional landscapes, and invites readers to experience the world from perspectives they might not have considered before.  We believe that poetry should be accessible to everyone, and that every voice deserves to be heard. We strive to publish works that represent a wide range of experiences, backgrounds, and emotions, ensuring that our collections reflect the richness of the world we live in. We are dedicated to supporting poets from all walks of life. Our press thrives on publishing work that is unique, authentic, and deeply human. We are proud to support social media poets and provide a space for new and established voices alike.  We believe in paying our poets for their art. We understand the importance of the creative process, and we value the work that goes into writing, editing, and sharing poems with the world. We offer publication advances and royalties on all full-length and chapbook poetry collections.","Yes Submission Guidelines URL https://arcanapoetrypress.com/submission-guidelines Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties, copies Contests no Instagram https://www.instagram.com/arcanapoetrypress",IPS for wide distribution. We also handle direct sales.
Archway Editions,https://www.archwayeditions.us,Press,"Essays, Fiction, Poetry, Reviews, Translation, Visual Art",2019,"Brooklyn, NY",Chris Molnar,Publisher and Editorial Director,"Archway’s mission is to publish the finest authors, at all stages of their careers, who write material which is at odds with the prevailing status quo, both legendary and emerging. This series is designed to be a literary complement to the trailblazing artbooks of powerHouse Books proper, pocket-sized texts that are guaranteed to alter the way you see the world.",No Contests no,
Assure Press,http://assurepress.org,Press,"Fiction, Poetry, Audio, Essays, Reviews, Translation, Visual Art",2017,"Cedar Hill, TX",Assure Press,Publisher,"Assure Press Publishing & Consulting, LLC connects authors and artists with the world through inspirational and enlightening poetry, fiction, non-fiction, motivational, and educational literature.",No,
Autumn Art,https://autumnartbooks.com,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Drama, Essays, Feminist, Interviews, Political, Regional, Religious, Translation",2016,"Patiala, Punjab",Preeti Shelly,Founder,"Autumn Art is a distinguished literary publisher based in Patiala, dedicated to promoting Punjabi language literature. With a strong commitment to linguistic and cultural preservation, Autumn Art has played a significant role in bringing high-quality Punjabi books to readers worldwide.  Over the years, the publisher has built a reputation for publishing multiple bestseller books across various genres, including fiction, poetry, biographies, and academic works. Autumn Art has consistently collaborated with renowned Punjabi authors and emerging voices, ensuring that the richness of the language and its literary traditions continue to thrive.  By providing a platform for Punjabi literature, Autumn Art has not only contributed to the literary landscape of Punjab but also helped bridge the gap between generations by preserving stories, histories, and ideas in their native language.",,
Autumn House Press,http://www.autumnhouse.org,Press,"Fiction, Poetry, Essays, Visual Art",1998,"Pittsburgh, PA",Christine Stroud,Editor in Chief,"Autumn House Press is a nonprofit publisher located in Pittsburgh, PA, whose mission is to publish and promote poetry and other fine literature.  Founded in 1998, Autumn House Press believes literature affirms the deep and elemental range of our human experience, and our need for it is now more crucial than ever. Autumn House is committed to championing debut, emerging, and established authors and to supporting our authors throughout their careers. We pledge to edit their work with devotion and care and to create beautiful books.",No Contests no,
Ballerini Book Press,https://ballerinibookpress.ch,"Magazine, Press","Fiction, Poetry, Audio, Autobiography Memoir, Criticism Reviews, Essays, Reviews, Translation, Visual Art",2020,"Lucerne, Kriens",Renée Ballerini-Sigel,Publisher,"Ballerini Book Press and its cultural magazine Literati Magazine (since 1999) is dedicated to preserving the independence of the artistic voice, regardless of origin. Our editorial focus is prepared to go against the grain and our publishing collaborative projects may defy conventional expectations of 'traditional print publishing. We seek to curate what an become an historical window into global artistry which thrives on the sidelines of mainstream literature.",No Charges Writers A Submission/Reading Fee no Contests no,
Bamboo Ridge Press,http://www.bambooridge.org,Press,"Fiction, Poetry, Audio, Essays, Visual Art",1978,"Honolulu, HI",Wing Tek Lum,Business Manager,"Hawai‘i’s longest running, independent, literary small press. Bamboo Ridge Press is a nonprofit organization founded in 1978 to foster the creation, appreciation, and preservation of literature and art for, by, or about the people of Hawai‘i and the Pacific.  While special attention is given to literature that reflects an island sensibility, Bamboo Ridge is broad in scope and embraces a variety of work from emerging and established writers across the nation. Some of our books have received recognition for literary excellence and for their contribution to the understanding and appreciation of Hawaiʻi’s cultures and people.",No Charges Writers A Submission/Reading Fee no Contests no,
Banana Slug Books,https://www.bananaslugbooks.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Feminist",2024,"Spokane, WA",Aimee N Brooks,Editor-in-chief,"Mission: To uplift emerging and established literary voices, building a bridge between publishing experiences and community",Yes,
Baobab Press,http://baobabpress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Essays, Graphic Novels Comics",1998,"Reno, Nevada",,,"Baobab Press seeks books that communicate and support their themes through new and well-articulated means. We like risk and invention, but more importantly we are looking for quality of thought in work that adds depth to its concerns. And although it is not an official requirement, we tend to select literary work with a strong sense of place at its core. Ultimately, our goal is to publish work that resonates in the contemporary climate and that will continue to resonate in years to come.",No Charges Writers A Submission/Reading Fee no Contests no,
Behemoth Magazine,https://www.behemothmagazine.com/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Environment Nature, Flash Fiction, Graphic Novels Comics, Horror Thriller Suspense, Humor, Mystery Crime, Sci Fi Fantasy Speculative, Visual Art, Young Adult",2024,"Madera, California",Scott Knoll,,"Behemoth Magazine is a digital magazine that harnesses a giant monster visual aesthetic to deliver colossal-sized content across photography, writing, art, comic books, and interviews with creative dreamers. We provide a platform for both emerging and established creators, fostering an inclusive space where imagination knows no limits. Our mission is to celebrate innovative storytelling and visual expression while supporting artists of all backgrounds. Through bold, larger-than-life content, we aim to contribute to the cultural landscape and inspire creativity in all its forms.",No Contests no,
Belladonna* Collaborative,http://www.belladonnaseries.org,Press,"Poetry, Translation",1999,"Brooklyn, NY",Zoe Tuck and Summer C.J. Wrobel,,"The Belladonna* mission is to promote the work of women writers who are adventurous, experimental, politically involved, multi-form, multicultural, multi-gendered, impossible to define, delicious to talk about, unpredictable and dangerous with language.",No,
Belle Point Press,https://bellepointpress.com/,Press,"Fiction, Poetry, Essays, Visual Art",2021,"Fort Smith, Arkansas",Casie Dodd,Founder and Publisher,"Belle Point Press is a literary small press along the Arkansas-Oklahoma border. Our mission is simple: Stick around and read.  As a community-oriented press, we are primarily interested in seeing work from writers tied to Arkansas and the surrounding area, including Oklahoma, Louisiana, Texas, Tennessee, Mississippi, Missouri, etc. as well as other Southern states (This connection doesn’t necessarily have to be explicit in the work itself.). Show us what it means to be from around here.",No Charges Writers A Submission/Reading Fee no Contests no,
Bending Genres,https://www.bendinggenres.com,"Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Criticism Reviews, Experimental, Reviews",2018,"River Hills, WI",Robert Vaughan,Editor-in-chief,"Mission  Bending Genres seeks in-your-face writing that is experimental, gut-wrenching, terrifying, stultifying, breakneck speed, sex-driven, whooshing out, and secretive.  Inclusion Policy  Here at BG, we strive to include the unincluded and welcome submissions from persons of indigenous cultures, POC, non-binary genders, members of the LGBTQIA community, non-abled bodied, neurodivergent persons, and any that do not fit within the normalized culture that has been made a binary space, and aim to make their work more prevalent in the literary community at large.  Zero Tolerance Policy  Bending Genres is a literary magazine that aims for inclusion and we regret to exclude any individual. However, we will not publish, condone, or endorse writing or writers who promote harassment, hate speech, or violence toward a particular individual or group, including (but not limited to) sexual harassment, homophobia, transphobia, misogyny, racism, or any attitude that may harm or be used to assault verbally, or otherwise, any person within the literary community or extraneous to it. If discovered, we will terminate any individual’s work, published or pending publication, if there is viable proof of harassment committed by said individuals.",Yes Submission Guidelines URL https://bendinggenres.submittable.com/submit Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments none Contests no Facebook https://www.facebook.com/search/top?q=bending%20genres Twitter https://x.com/BendingGenres Instagram https://www.instagram.com/bendinggenres/,various venues
Best New Poets,https://www.bestnewpoets.org/,Press,Poetry,2005,"Charlottesville, VA",Jeb Livingood,Series Editor,Best New Poets is an annual poetry anthology of fifty poems from emerging writers.,No Charges Writers A Submission/Reading Fee no Contests no,
Big Wonderful Press,https://www.bigwonderfulpress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Feminist, Humor, Sci Fi Fantasy Speculative, Young Adult",2012,"New Paltz, NY",,,"We are an anti-AI, grassroots publishing house celebrating human creativity. No literary popularity contests.",Yes,
Big Yes Press,http://www.bigyespress.com,Press,"Fiction, Poetry",2012,"Arroyo Grande, CA",Paula C. Lowe,publisher,"Big Yes Press is a not for profit small press producing poetry books that speak to our places, people, and times  since 2012.  BYP has one to two books in motion at any given time.  Started in the spirit of a cooperative, and in partnership with each of its authors, BYP welcomes poetry, graphic poetry, and short story collection submissions. Please follow the guidelines stated on our website.",No Contests no,
Bilingual Press | Editorial Bilingüe (BP | EB),https://bilingualpress.submittable.com/submit,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Essays, Experimental, Feminist, Graphic Novels Comics, Political, Regional, Reviews, Translation, Visual Art, Young Adult",1973,"Tempe, Arizona",Anita Huizar-Hernandez,Publisher and Managing Editor,"Bilingual Press Mission | Misión de la Editorial Bilingüe  We publish contemporary bilingual books that reflect the Latino/a/x/e experience.  As a resource for communities of writers, visual artists, students, and readers, we center translation to celebrate the rich multilingual legacies of the United States.  Publicamos libros bilingües contemporáneos que reflejan la experiencia latina.  Como un recurso para las comunidades de escritores, artistas visuales, estudiantes y lectores, nos centramos en la traducción para celebrar la rica herencia multilingüe de los Estados Unidos.","no Charges Writers A Submission/Reading Fee no Author Payments royalties, copies Contests no Instagram https://www.instagram.com/bilingualpress/",Self-distributor
BkMk Press,http://www.bkmkpress.org,Press,"Fiction, Poetry, Essays",1971,"Parkville, MO",Ben Furnish,Editor,"The mission of BkMk Press, publisher of fine literary books,  to discover, publish and promote the best and most exciting literary writing, wherever it might be found.  In recent years, BkMk Press titles have won or placed in numerous national awards, including Pushcart Prizes, PEN/Faulklner and PEN Hemingway, and American Book Awards.",No Charges Writers A Submission/Reading Fee no Contests no,
Black Mountain Press,http://www.theblackmountainpress.com,"Magazine, Press","Fiction, Poetry, Essays, Graphic Novels Comics, Reviews, Translation, Visual Art",1994,"Black Mountain, NC",Carlos Steward,Editor,"Established in 1994, the Black Mountain Press is dedicated to promoting work of emerging authors of literary poetry, novels and short stories. As cinema, art and story telling has plummeted in literary quality to appeal to the lowest common denominator in recent years, the Black Mountain Press strives to find and publish works that aspire to a higher ideal, many times written by unknown, first time authors, without agents representing them. All too often their works are ignored by the corporate publishers who are more interested in serving up their chain store consumables for a public lost in our mass produced fast-food induced art world.  The Black Mountain Press is part of the Flood Gallery Fine Arts Center, a 501(c)(3) non-profit.",No,
Black Square Editions/Off the Park Press Inc.,http://blacksquareeditions.org,Press,"Fiction, Poetry, Essays, Translation, Visual Art",1999,"New York, NY",John Yau,Publisher,"Black Square Editions was started in 1999 with the intention of publishing translations of little known books by well-known poets and fiction writers, as well as the work of emerging and established authors.Our authors include Matvei Yankelevich, Rosalyn Drexler, Brian Evenson, Andrew Joron, Eugene Lim, Gary Lutz, Michael Leong, Albert Mobilio and Barry Schwabsky.",No Charges Writers A Submission/Reading Fee no Contests no,
Black Sunflowers Poetry Press,http://blacksunflowerspoetry.com/,Chapbook,Poetry,2020,"Poole, Dorset",Amanda Holiday,Ms,"Black Sunflowers is a UK based, art oriented small poetry press with a focus on poetry from women and black poets. We are 'centring the edge', looking for a singular voice, like a musical note. 
Crowdfunded in 2020, the press published their first set of 5 chapbooks in Feb 2021, followed by 2 more in November along with the first SMEOP anthology.",,
BLF Press,http://blfpress.com,Press,"Essays, Fiction, Poetry, Visual Art",2014,"Bloomington, IN",Stephanie Andrea Allen,Publisher,"BLF Press is an independent Black feminist publishing house dedicated to amplifying the work of Black, Indigenous, and queer women of color. Our goal for this press is to create a space for forward thinking, creative women of exceptional talent. We embrace difference, and envision BLF Press as an outlet for the expression of various types of writing that exemplifies the experiences of Black, Indigenous, and queer women of color in the United States.",,
Blue Cactus Press,http://www.bluecactuspress.com,Press,"Essays, Fiction, Poetry, Visual Art",2017,"Tacoma, WA",Christina Butcher,Publisher,"Blue Cactus Press is a micro-publisher based out of Tacoma, Washington. We value community involvement in the arts and collaboration. We’re particularly interested in poetry, short-stories and essays that shed light on the under-currents of our shared human experience, including depression, anxiety, fear, loneliness, morality, etc.",,
BOA Editions,http://www.boaeditions.org,Press,"Fiction, Poetry, Translation",1976,"Rochester, NY",Callie Updike,Director of Development and Publicity,"BOA Editions, Ltd. fosters readership and appreciation of contemporary literature. By identifying, cultivating, and publishing new and established poets and selecting authors of unique literary talent, BOA brings high-quality literature to the public.",,
Book*hug Press,https://bookhugpress.ca/,Press,"Audio, Essays, Fiction, Poetry, Translation, Visual Art",2004,"Toronto, ON",Hazel Millar and Jay Millar,Co-publishers,"Celebrating twenty years of adventures in literary publishing, Book*hug Press is a radically optimistic Canadian independent publisher working at the forefront of contemporary book culture. We specialize in dynamic and contemporary literary fiction, narrative nonfiction, poetry, and literature in translation. We publish critically acclaimed, award-winning literary work with a strong and recognizable brand, and readers turn to us for engaging and intelligent books. We champion emerging and established literary writers whose work meaningfully contributes to and reflects contemporary culture and society, books that challenge and push the boundaries of cultural expectations.",,
Bordighera Press,https://bordigherapress.org/,Press,"Essays, Fiction, Graphic Novels Comics, Poetry, Reviews, Translation, Visual Art",1989,"New York, NY",Nicholas Grosso,Managing Editor,"Bordighera Press publishes italianità in North America from literary works to scholarship on migration and Italian diasporas.  Founded by Fred Gardaphé, Paolo Giordano, and Anthony Julian Tamburri in 1989, Bordighera Press is a nonprofit publisher specializing in the latest research and critical works; new voices in poetry and prose; and reprinting significant contributions in the fields of migration, Italian diasporas, and Italian Americana.",No Contests no,
Bottom Dog Press,http://smithdocs.net,Press,"Fiction, Poetry, Visual Art",1985,"Huron, Ohio",Larry Smith,Director,"We are devoted to writing of people and place. Our series feature undeserved audiences...We believe in a sense of place and person, in writing that reveals through its directness an essential human story. We also support the history and development of Working Class Literature and Appalachian Literature, and we work to provide outlets for that writing and information on that vital art.
We  have headquarters in Huron, Ohio at POBox 425, Huron, Ohio 44839. Our email is [email protected].",No,
bramble press,https://brambleonline.com/,"Magazine, Press",Poetry,2025,"Winston-Salem, NC",Kat Bodrie,"Founder, Publisher & Editor-in-Chief","bramble's motto is ""poetry that sticks."" We want memorable poetry by freeworld and incarcerated poets.",Yes Fee Amount $3 per submission to the lit mag,
